date,min,max,median,q1,q3,stdev,count
2022-10-13T00:00:00.000Z,1.48,14.18,2.92,2.23,4.22,2.05,543
2022-10-14T00:00:00.000Z,4.13,80.53,12.8,7.27,16.7,7.87,517
2022-10-15T00:00:00.000Z,5.4,113.25,26.85,16.88,41.78,14.455,523
2022-10-16T00:00:00.000Z,0.68,18.89,2.4,1.42,10.03,5.521,425
2022-10-17T00:00:00.000Z,0.6,31.7,1.98,1.65,2.52,2.857,522
2022-10-18T00:00:00.000Z,0.3,6.45,0.95,0.6,1.73,1.058,359
2022-10-21T00:00:00.000Z,0.4,40.45,2.8,1.75,5.4,4.011,507
2022-10-22T00:00:00.000Z,2.1,65.53,6.3,3.42,21.3,14.711,543
2022-10-23T00:00:00.000Z,0.7,24.77,6.5,3.7,8.48,4.159,539
2022-10-24T00:00:00.000Z,0.3,6.75,2.65,1.4,3.3,1.18,507
2022-10-25T00:00:00.000Z,0.4,44.33,3.7,2.42,20.05,10.407,511
2022-10-26T00:00:00.000Z,0.1,3.03,0.73,0.5,1.3,0.526,511
2022-10-27T00:00:00.000Z,1.4,10.9,3.85,2.9,4.5,1.371,528
2022-10-28T00:00:00.000Z,0.4,15.93,5.93,4.72,8.82,3.38,510
2022-10-29T00:00:00.000Z,0.22,14.23,1.33,0.9,1.9,3.086,514
2022-10-30T00:00:00.000Z,0.2,41.28,0.77,0.51,7.13,7.399,509
2022-10-31T00:00:00.000Z,3.22,98,6.69,5.44,11.55,7.689,520
2022-11-01T00:00:00.000Z,1.42,31.6,4.9,3.03,8.53,4.074,505
2022-11-02T00:00:00.000Z,3.2,24.05,9.36,7.32,11.65,3.999,450
2022-11-03T00:00:00.000Z,1.48,12.77,5,2.84,6.29,2.23,509
2022-11-04T00:00:00.000Z,1.3,6.8,2.45,1.98,3.75,1.179,502
2022-11-05T00:00:00.000Z,1.12,41.08,3,2.38,5.2,4.888,494
2022-11-06T00:00:00.000Z,1,31.73,2.54,1.63,3.55,2.547,518
2022-11-07T00:00:00.000Z,0.6,19.89,4.53,3.6,5.45,2.234,543
2022-11-08T00:00:00.000Z,0.2,17.52,1,0.5,8.84,4.576,533
2022-11-09T00:00:00.000Z,2.15,32.47,6.13,4.47,8.48,3.731,539
2022-11-10T00:00:00.000Z,1.5,10.75,3.13,2.4,5.84,2.203,528
2022-11-11T00:00:00.000Z,0.56,11.7,1.8,1.1,2.5,0.913,495
2022-11-12T00:00:00.000Z,1.55,44.17,2.95,2.33,3.79,2.929,529
2022-11-13T00:00:00.000Z,1.63,83.55,4.45,2.92,7.68,9.048,539
2022-11-14T00:00:00.000Z,0.2,21.98,4.82,2.71,7.13,3.588,521
2022-11-15T00:00:00.000Z,0.2,4.97,0.85,0.65,1.1,0.559,528
2022-11-16T00:00:00.000Z,0.2,12.6,0.9,0.6,1.52,1.025,518
2022-11-17T00:00:00.000Z,0.43,12.15,1.67,1.1,2.4,1.479,524
2022-11-18T00:00:00.000Z,0.5,6.9,1.6,1.1,2.25,1.333,537
2022-11-19T00:00:00.000Z,0.5,16.82,1.69,0.85,4.22,2.785,486
2022-11-20T00:00:00.000Z,1,11.38,2.63,2,3.66,1.281,537
2022-11-21T00:00:00.000Z,2.4,20.95,8.25,5.85,10.77,3.525,526
2022-11-22T00:00:00.000Z,3.55,26.83,10.25,8.35,12.1,2.978,519
2022-11-23T00:00:00.000Z,1.25,8.9,3.74,2.4,6,1.979,532
2022-11-24T00:00:00.000Z,1.52,15.68,5.6,3.85,7.57,2.514,527
2022-11-25T00:00:00.000Z,2.27,15.23,4.28,3.05,9.27,3.325,508
2022-11-26T00:00:00.000Z,3.72,51.95,11.25,8.41,13.23,4.764,521
2022-11-27T00:00:00.000Z,4.8,73.72,13.54,10.37,18.2,8.164,530
2022-11-28T00:00:00.000Z,3.75,22.92,8.44,6.4,12.38,4.093,503
2022-11-29T00:00:00.000Z,2.65,16.85,9.3,6.46,11.58,3.073,445
2022-11-30T00:00:00.000Z,3.78,144.05,12.75,9.31,22.8,13.557,516
2022-12-01T00:00:00.000Z,5.75,25.35,10.59,9.32,11.77,1.97,474
2022-12-02T00:00:00.000Z,4.57,29.7,13.25,9.73,16.73,5.372,558
2022-12-03T00:00:00.000Z,2.25,20.85,4.21,3.4,6.5,2.206,558
2022-12-04T00:00:00.000Z,3.08,26.48,6.06,4.93,10.31,3.572,524
2022-12-05T00:00:00.000Z,2.1,22.23,8.48,6.4,10.4,3.265,499
2022-12-06T00:00:00.000Z,1.73,18.67,4.3,3.53,5.45,2.147,535
2022-12-07T00:00:00.000Z,1.33,8.4,3.08,2.4,3.99,1.289,517
2022-12-08T00:00:00.000Z,1.5,27.65,3.45,2.25,8.1,4.524,533
2022-12-09T00:00:00.000Z,4.7,21.75,9.43,7.54,13.77,3.835,520
2022-12-10T00:00:00.000Z,2.8,16.45,4.43,3.94,5.13,1.405,533
2022-12-11T00:00:00.000Z,3.35,15.1,5.18,4.82,5.56,0.894,548
2022-12-12T00:00:00.000Z,1.5,7.97,3.6,2,4.4,1.527,515
2022-12-13T00:00:00.000Z,1.4,76.09,2.74,2.15,4.3,4.699,522
2022-12-14T00:00:00.000Z,2.8,19,4.7,3.71,6.8,2.518,513
2022-12-15T00:00:00.000Z,2.8,45.5,9.32,5.35,12.37,5.555,518
2022-12-16T00:00:00.000Z,4.8,91.03,10.72,7.9,18.13,9.141,478
